x,y,z,Person,bvp,eda,temp,Label
-28.125,0.875,57.875,S35,-5.66875,0.87926,32.93,Stress
-28.25,1.125,57.625,S35,-46.396875,0.87926,32.93,Stress
-28.375,1.0,57.375,S35,26.964375,0.876697,32.95,Stress
-28.0,1.0,57.625,S35,32.680625,0.876697,32.95,Stress
-28.0,0.875,57.625,S35,-2.3512500000000003,0.874135,32.95,Stress
-28.375,0.75,57.625,S35,-38.541875,0.871572,32.95,Stress
-27.75,1.25,57.625,S35,27.040625,0.870291,32.93,Stress
-27.875,1.0,57.75,S35,20.53125,0.871572,32.93,Stress
-27.75,1.25,58.0,S35,-14.22625,0.869009,32.93,Stress
-26.375,1.5,57.875,S35,-38.963125,0.865165,32.93,Stress
-27.5,1.0,57.875,S35,8.15125,0.865165,32.93,Stress
-27.75,1.125,57.75,S35,29.173125,0.863884,32.93,Stress
-27.75,1.125,57.625,S35,18.515625,0.861321,32.93,Stress
-27.625,1.0,57.75,S35,-29.29375,0.862603,32.93,Stress
-28.0,1.0,58.0,S35,6.483124999999999,0.861321,32.95,Stress
-27.875,1.0,58.0,S35,62.416875,0.861321,32.95,Stress
-27.75,1.625,57.375,S35,-30.23625,0.862603,32.95,Stress
-26.0,0.5,58.5,S35,-44.41625,0.863884,32.95,Stress
-27.25,0.875,57.75,S35,17.064375,0.862603,32.97,Stress
-27.625,1.0,57.875,S35,15.7875,0.863884,32.97,Stress
-27.625,1.0,58.0,S35,-34.1775,0.866447,32.97,Stress
-27.75,1.0,58.0,S35,-55.468125,0.865165,32.97,Stress
-27.5,0.875,58.0,S35,110.85875,0.866447,32.97,Stress
-27.625,1.125,58.0,S35,11.088125,0.86004,32.97,Stress
-27.625,1.0,58.0,S35,-86.078125,0.861321,32.97,Stress
-27.625,1.0,58.0,S35,-6.78125,0.86004,32.97,Stress
-27.75,0.875,57.75,S35,37.130625,0.857477,32.97,Stress
-27.0,1.125,58.0,S35,12.831875,0.857477,32.97,Stress
-27.125,1.0,58.0,S35,-41.97875,0.853633,32.97,Stress
-27.25,1.125,58.0,S35,22.76125,0.851071,32.97,Stress
-27.5,1.125,58.0,S35,37.76875,0.849789,32.95,Stress
-27.25,1.125,58.0,S35,-1.5812500000000005,0.847227,32.95,Stress
-28.0,0.75,58.125,S35,-60.55,0.847227,32.95,Stress
-25.875,1.375,58.125,S35,26.393125,0.843383,32.95,Stress
-26.875,1.0,58.125,S35,46.615625,0.84082,32.97,Stress
-26.875,1.0,58.125,S35,-5.086874999999999,0.842101,32.97,Stress
-27.25,1.125,58.0,S35,-62.46875,0.84082,32.97,Stress
-27.125,1.0,58.0,S35,22.031875,0.839539,32.97,Stress
-27.25,1.125,58.125,S35,40.539375,0.835695,32.97,Stress
-24.75,1.625,58.5,S35,19.935625,0.834413,32.97,Stress
-26.75,1.125,58.25,S35,-78.9175,0.835695,32.97,Stress
-26.875,0.75,58.0,S35,1.80875,0.834413,32.97,Stress
-27.25,1.0,58.0,S35,50.185625,0.831851,32.97,Stress
-27.0,0.75,58.0,S35,19.11625,0.833132,32.97,Stress
-27.125,1.125,58.0,S35,-50.565625,0.831851,32.97,Stress
-27.0,1.0,58.0,S35,21.410625,0.831851,32.97,Stress
-27.125,1.0,57.875,S35,15.329375,0.830569,32.95,Stress
-27.25,0.875,58.0,S35,9.476875,0.828007,32.95,Stress
