x,y,z,Person,bvp,eda,temp,Label
-59.875,23.0,11.125,S21,0.610625,0.420543,33.23,Stress
-60.25,23.125,11.75,S21,-3.44375,0.419262,33.23,Stress
-69.25,20.5,21.75,S21,-6.0225,0.415418,33.23,Stress
-45.625,-22.625,37.125,S21,-9.1525,0.409011,33.23,Stress
-31.0,13.25,48.5,S21,3.3675,0.412855,33.23,Stress
-23.875,2.25,57.75,S21,2.174375,0.439763,33.23,Stress
-23.75,2.25,60.0,S21,-5.92625,0.451295,33.21,Stress
-27.375,20.375,50.375,S21,5.36625,0.443607,33.21,Stress
-32.375,2.375,46.75,S21,0.2199999999999997,0.425669,33.21,Stress
-75.875,25.0,55.375,S21,-33.31625,0.417981,33.21,Stress
-46.125,12.25,8.875,S21,158.168125,0.412855,33.21,Stress
-63.5,33.375,-28.0,S21,80.99,0.406449,33.21,Stress
-52.0,30.125,-25.625,S21,-91.018125,0.412855,33.21,Stress
-54.375,23.75,-37.875,S21,-133.841875,0.412855,33.21,Stress
-52.125,18.75,4.5,S21,-142.704375,0.421825,33.18,Stress
-61.75,22.25,-17.125,S21,10.33625,0.421825,33.18,Stress
-58.75,22.875,-17.375,S21,-9.450625,0.417981,33.18,Stress
-58.625,23.5,-12.5,S21,7.4825,0.423106,33.18,Stress
-58.25,24.25,-16.375,S21,201.5225,0.423106,33.25,Stress
-57.75,24.25,-17.5,S21,31.085625,0.419262,33.25,Stress
-57.25,25.375,-18.0,S21,-107.60625,0.421825,33.25,Stress
-56.75,25.75,-18.75,S21,19.56,0.42695,33.25,Stress
-57.0,25.375,-18.375,S21,-57.720625,0.428231,33.21,Stress
-57.0,25.0,-18.0,S21,25.3825,0.425669,33.21,Stress
-57.0,25.0,-17.375,S21,72.779375,0.428231,33.21,Stress
-57.375,25.0,-17.5,S21,-47.304375,0.432075,33.21,Stress
-57.375,25.0,-17.875,S21,-21.513125,0.44617,33.21,Stress
-57.625,25.0,-17.125,S21,3.64375,0.443607,33.21,Stress
-58.0,25.0,-16.0,S21,4.344375,0.448733,33.21,Stress
-58.0,25.0,-16.0,S21,0.0812499999999999,0.444889,33.21,Stress
-58.0,25.0,-16.0,S21,16.129375,0.444889,33.18,Stress
-58.0,25.0,-16.75,S21,14.05875,0.447451,33.18,Stress
-57.75,24.875,-16.625,S21,2.111875,0.451295,33.18,Stress
-57.5,24.875,-17.0,S21,10.71125,0.456421,33.18,Stress
-57.125,26.5,-17.25,S21,-2.005625,0.455139,33.18,Stress
-55.875,26.375,-16.5,S21,-26.49125,0.448733,33.18,Stress
-53.625,26.75,-26.25,S21,1.076875,0.451295,33.18,Stress
-53.625,26.5,-25.25,S21,15.16,0.432075,33.18,Stress
-54.0,26.5,-24.25,S21,17.08,0.420543,33.21,Stress
-54.5,26.0,-23.375,S21,-2.585,0.425669,33.21,Stress
-55.0,25.375,-22.875,S21,2.010625,0.425669,33.21,Stress
-55.5,25.125,-23.125,S21,24.405625,0.420543,33.21,Stress
-56.125,23.75,-22.0,S21,87.863125,0.416699,33.16,Stress
-56.875,24.375,-20.125,S21,-59.598125,0.410293,33.16,Stress
-56.375,25.0,-20.625,S21,-40.173125,0.406449,33.16,Stress
