x,y,z,Person,bvp,eda,temp,Label
-30.875,-15.25,53.875,S32,-21.114375,0.198606,30.39,Stress
-31.0,-15.5,54.0,S32,20.74,0.194762,30.39,Stress
-31.0,-15.375,54.0,S32,18.036875,0.193481,30.41,Stress
-31.0,-15.375,54.0,S32,-6.580625,0.193481,30.41,Stress
-31.0,-15.25,54.0,S32,-20.903125,0.196044,30.41,Stress
-31.0,-15.25,54.0,S32,13.409375,0.194762,30.41,Stress
-31.0,-15.125,54.0,S32,17.071875,0.194762,30.39,Stress
-31.0,-15.125,54.0,S32,-1.5481249999999998,0.194762,30.39,Stress
-31.0,-15.25,54.0,S32,-27.313125,0.196044,30.39,Stress
-31.0,-15.25,54.0,S32,17.158125,0.194762,30.39,Stress
-31.0,-15.125,54.0,S32,21.106875,0.194762,30.41,Stress
-31.0,-15.0,54.0,S32,3.730625,0.196044,30.41,Stress
-31.125,-15.375,53.75,S32,-27.174375,0.196044,30.41,Stress
-31.125,-15.25,54.0,S32,-1.8400000000000003,0.196044,30.41,Stress
-31.0,-15.5,53.75,S32,20.42625,0.196044,30.41,Stress
-31.25,-15.25,54.0,S32,10.031875,0.194762,30.41,Stress
-31.0,-15.625,54.0,S32,-11.1675,0.194762,30.41,Stress
-31.25,-15.25,53.875,S32,-12.019375,0.194762,30.41,Stress
-31.125,-15.25,54.0,S32,16.066875,0.196044,30.41,Stress
-31.0,-15.125,54.0,S32,9.836875,0.194762,30.41,Stress
-31.125,-15.5,54.0,S32,-14.63875,0.194762,30.41,Stress
-31.25,-15.375,54.0,S32,-15.745,0.194762,30.41,Stress
-31.0,-15.125,54.0,S32,21.084375,0.194762,30.43,Stress
-31.0,-15.25,54.0,S32,15.27,0.194762,30.43,Stress
-31.0,-15.125,54.0,S32,-6.1025,0.196044,30.43,Stress
-31.0,-15.375,54.0,S32,-29.149375,0.196044,30.43,Stress
-31.0,-15.75,54.0,S32,15.18875,0.194762,30.43,Stress
-31.0,-15.25,54.0,S32,21.46,0.197325,30.43,Stress
-31.0,-15.625,54.0,S32,6.38125,0.194762,30.43,Stress
-31.375,-15.125,53.75,S32,-19.01875,0.194762,30.43,Stress
-30.75,-15.375,53.875,S32,-12.3625,0.197325,30.41,Stress
-32.0,-15.25,53.5,S32,18.82125,0.194762,30.41,Stress
-31.25,-15.25,53.875,S32,13.618125,0.194762,30.41,Stress
-31.625,-15.375,53.375,S32,-6.523125,0.196044,30.41,Stress
-31.625,-15.375,53.625,S32,-34.2375,0.194762,30.41,Stress
-31.375,-15.5,53.625,S32,4.985625,0.197325,30.41,Stress
-31.5,-15.25,53.625,S32,17.401875,0.197325,30.41,Stress
-31.375,-15.125,53.625,S32,11.65875,0.197325,30.41,Stress
-31.625,-15.25,53.375,S32,-13.27125,0.194762,30.41,Stress
-32.0,-15.25,53.0,S32,-20.60625,0.196044,30.41,Stress
-31.875,-15.25,53.125,S32,20.734375,0.194762,30.41,Stress
-32.25,-15.25,53.0,S32,19.7225,0.197325,30.41,Stress
-35.75,-14.5,51.375,S32,4.56625,0.196044,30.41,Stress
-36.75,-14.375,50.75,S32,-21.88,0.196044,30.41,Stress
-33.25,-11.125,53.625,S32,-7.720625,0.193481,30.41,Stress
-31.625,-12.625,54.125,S32,19.134375,0.196044,30.41,Stress
-31.0,-13.5,54.125,S32,5.49875,0.196044,30.43,Stress
-30.0,-13.75,54.375,S32,-9.694375,0.196044,30.43,Stress
-31.75,-13.5,54.25,S32,-15.5775,0.197325,30.43,Stress
-31.375,-13.125,54.25,S32,-3.91375,0.197325,30.43,Stress
-31.875,-13.5,54.125,S32,24.398125,0.196044,30.45,Stress
-31.5,-13.125,54.25,S32,15.52625,0.194762,30.45,Stress
-32.125,-13.5,54.25,S32,3.344375,0.196044,30.45,Stress
