x,y,z,Person,bvp,eda,temp,Label
-31.125,-53.375,17.25,S03,-61.086875,0.269096,33.75,Stress
-31.125,-52.875,17.5,S03,-115.264375,0.270377,33.75,Stress
-31.0,-53.25,17.125,S03,353.858125,0.27294,33.71,Stress
-31.625,-52.875,16.375,S03,2.1975000000000016,0.270377,33.71,Stress
-31.375,-53.25,16.5,S03,-93.136875,0.27294,33.71,Stress
-31.125,-53.0,18.0,S03,-34.758125,0.271659,33.71,Stress
-27.75,-52.875,22.25,S03,-47.064375,0.271659,33.75,Stress
-28.375,-51.625,22.875,S03,15.928125,0.27294,33.75,Stress
-29.625,-53.25,20.0,S03,13.668125,0.270377,33.75,Stress
-28.75,-53.5,20.875,S03,-9.415,0.270377,33.75,Stress
-29.125,-50.625,24.125,S03,93.8275,0.270377,33.77,Stress
-28.875,-51.875,22.375,S03,52.465625,0.270377,33.77,Stress
-34.375,-51.25,18.625,S03,-101.323125,0.269096,33.77,Stress
-33.25,-49.375,22.875,S03,-1.0206250000000008,0.270377,33.77,Stress
-16.0,-28.375,53.5,S03,89.62625,0.278066,33.73,Stress
-31.75,-35.875,36.625,S03,-48.006875,0.276784,33.73,Stress
-48.625,-45.5,-2.75,S03,-5.039375,0.276784,33.73,Stress
-44.625,-34.75,2.625,S03,1.1281250000000005,0.276784,33.73,Stress
-38.375,-6.25,41.0,S03,7.561249999999999,0.269096,33.71,Stress
-45.5,22.75,56.75,S03,24.45875,0.28191,33.71,Stress
-36.875,23.5,47.125,S03,-99.5675,0.287035,33.71,Stress
-39.75,16.5,48.875,S03,-0.6000000000000014,0.285754,33.71,Stress
-40.5,16.625,48.0,S03,-64.530625,0.284473,33.71,Stress
-40.625,16.75,48.0,S03,34.331875,0.284473,33.71,Stress
-40.75,16.25,47.125,S03,34.6025,0.285754,33.71,Stress
-42.125,16.0,46.375,S03,-40.768125,0.287035,33.71,Stress
-42.0,16.125,46.625,S03,-11.23875,0.287035,33.75,Stress
-41.75,16.0,47.125,S03,-17.535625,0.287035,33.75,Stress
-42.0,16.0,47.0,S03,26.681875,0.285754,33.75,Stress
-42.0,16.0,46.875,S03,27.0025,0.285754,33.75,Stress
-42.375,16.0,46.375,S03,-55.579375,0.288317,33.75,Stress
-42.5,15.875,46.25,S03,-2.4725,0.285754,33.75,Stress
-42.75,16.0,46.25,S03,12.713125,0.285754,33.75,Stress
-42.875,16.0,46.0,S03,-27.359375,0.288317,33.75,Stress
-43.0,15.875,46.0,S03,28.51125,0.288317,33.71,Stress
-43.0,16.0,46.0,S03,0.14625,0.289598,33.71,Stress
-43.0,15.875,46.0,S03,-6.391875000000001,0.289598,33.71,Stress
-42.625,16.0,46.0,S03,28.073125,0.289598,33.71,Stress
-43.0,15.875,45.625,S03,-17.649375,0.289598,33.73,Stress
-42.0,15.75,47.25,S03,16.87,0.288317,33.73,Stress
-35.125,18.875,50.375,S03,26.19875,0.289598,33.73,Stress
-37.875,19.125,48.5,S03,-16.7225,0.289598,33.73,Stress
-40.625,17.75,47.125,S03,62.086875,0.29088,33.75,Stress
-42.125,17.25,46.25,S03,37.138125,0.289598,33.75,Stress
-40.875,17.625,46.5,S03,-50.495,0.29088,33.75,Stress
-43.125,17.25,45.5,S03,20.020625,0.289598,33.75,Stress
-19.875,28.5,54.875,S03,9.67,0.293443,33.73,Stress
-17.5,34.875,52.125,S03,-36.001875,0.302412,33.73,Stress
-29.875,28.375,49.75,S03,-13.265625,0.302412,33.73,Stress
-31.625,27.0,49.875,S03,98.883125,0.303694,33.73,Stress
-31.625,27.125,49.375,S03,165.5775,0.303694,33.73,Stress
-30.25,28.0,50.0,S03,-105.529375,0.304975,33.73,Stress
-26.125,29.25,51.0,S03,-134.753125,0.308819,33.73,Stress
-27.875,28.625,50.625,S03,-59.73875,0.307538,33.73,Stress
-28.375,28.875,50.5,S03,-0.649375,0.311382,33.73,Stress
-28.125,29.25,50.0,S03,-30.68,0.312664,33.73,Stress
-28.125,29.75,50.0,S03,-14.291250000000002,0.315226,33.73,Stress
-28.0,29.875,50.0,S03,29.298125,0.313945,33.73,Stress
-28.125,29.25,50.0,S03,-4.536875,0.315226,33.75,Stress
-28.0,29.25,50.0,S03,-11.670625,0.313945,33.75,Stress
-28.125,29.0,50.0,S03,25.125,0.312664,33.75,Stress
-28.75,29.0,50.25,S03,7.6325,0.312664,33.75,Stress
-28.625,28.75,49.875,S03,3.87,0.311382,33.75,Stress
-29.25,28.625,50.125,S03,11.818125,0.308819,33.75,Stress
-27.625,28.625,50.875,S03,-19.24625,0.308819,33.75,Stress
-28.875,28.0,50.5,S03,2.77875,0.310101,33.75,Stress
-31.0,26.75,50.0,S03,-8.880625,0.310101,33.73,Stress
-30.25,27.75,50.0,S03,-5.805,0.307538,33.73,Stress
-30.5,27.875,49.875,S03,41.636875,0.307538,33.73,Stress
-30.625,28.125,49.75,S03,30.43,0.310101,33.73,Stress
-30.125,28.25,49.875,S03,-31.009375,0.307538,33.75,Stress
-30.125,28.0,50.0,S03,-16.656875,0.310101,33.75,Stress
